"","state1","state2","party","facility","cases"
"158","South Carolina","SC","REPUBLICAN","MIL",7
"159","South Carolina","SC","REPUBLICAN","OTH",19
"160","South Carolina","SC","REPUBLICAN","PUB",7
"161","South Carolina","SC","REPUBLICAN","PVT",108
"162","South Dakota","SD","REPUBLICAN","OTH",8
"163","South Dakota","SD","REPUBLICAN","PUB",3
"164","South Dakota","SD","REPUBLICAN","PVT",68
"165","Tennessee","TN","REPUBLICAN","MIL",1
"166","Tennessee","TN","REPUBLICAN","OTH",46
"167","Tennessee","TN","REPUBLICAN","PUB",139
"168","Tennessee","TN","REPUBLICAN","PVT",142
"169","Texas","TX","REPUBLICAN","MIL",32
"170","Texas","TX","REPUBLICAN","OTH",179
"171","Texas","TX","REPUBLICAN","PUB",167
"172","Texas","TX","REPUBLICAN","PVT",747
"173","Utah","UT","REPUBLICAN","OTH",18
"174","Utah","UT","REPUBLICAN","PUB",59
"175","Utah","UT","REPUBLICAN","PVT",72
"176","Vermont","VT","DEMOCRAT","OTH",2
"177","Vermont","VT","DEMOCRAT","PUB",4
"178","Vermont","VT","DEMOCRAT","PVT",72
"179","Virginia","VA","DEMOCRAT","MIL",24
"180","Virginia","VA","DEMOCRAT","OTH",70
"181","Virginia","VA","DEMOCRAT","PUB",76
"182","Virginia","VA","DEMOCRAT","PVT",319
"183","Washington","WA","DEMOCRAT","MIL",18
"184","Washington","WA","DEMOCRAT","OTH",66
"185","Washington","WA","DEMOCRAT","PUB",27
"186","Washington","WA","DEMOCRAT","PVT",298
"187","West Virginia","WV","REPUBLICAN","OTH",18
"188","West Virginia","WV","REPUBLICAN","PUB",65
"189","West Virginia","WV","REPUBLICAN","PVT",58
"190","Wisconsin","WI","DEMOCRAT","MIL",5
"191","Wisconsin","WI","DEMOCRAT","OTH",37
"192","Wisconsin","WI","DEMOCRAT","PUB",30
"193","Wisconsin","WI","DEMOCRAT","PVT",357
"194","Wyoming","WY","REPUBLICAN","OTH",8
"195","Wyoming","WY","REPUBLICAN","PUB",20
"196","Wyoming","WY","REPUBLICAN","PVT",17
